Date,Invalid,Valid
2025-11-24,0,0
2025-11-25,0,23
2025-11-26,0,23
2025-11-27,0,23
2025-11-28,0,23
2025-11-29,0,25
2025-11-30,0,25
2025-12-01,0,29
2025-12-02,0,29
2025-12-03,0,30
2025-12-04,0,36
2025-12-05,0,32
2025-12-06,0,41
2025-12-07,0,42
2025-12-08,0,62
2025-12-09,0,62
2025-12-10,0,60
2025-12-11,0,65
2025-12-12,0,61
2025-12-13,0,57
2025-12-14,0,50
2025-12-15,0,47
2025-12-16,0,44
2025-12-17,0,40
2025-12-18,0,36
2025-12-19,0,36
2025-12-20,0,33
2025-12-21,0,33
2025-12-22,0,74
2025-12-23,0,63
2025-12-24,0,60
2025-12-25,0,57
2025-12-26,0,55
2025-12-27,0,53
2025-12-28,0,53
2025-12-29,0,40
2025-12-30,0,20
2025-12-31,0,6
2026-01-01,0,6
2026-01-02,0,6
2026-01-03,0,6