Date,Not indexed,Indexed,Impressions
2025-11-23,,,1
2025-11-24,,,21
2025-11-25,,,67
2025-11-26,,,118
2025-11-27,,,138
2025-11-28,,,126
2025-11-29,,,180
2025-11-30,,,165
2025-12-01,,,170
2025-12-02,,,181
2025-12-03,,,168
2025-12-04,,,152
2025-12-05,,,88
2025-12-06,,,76
2025-12-07,,,137
2025-12-08,,,118
2025-12-09,,,145
2025-12-10,,,151
2025-12-11,,,117
2025-12-12,,,88
2025-12-13,,,101
2025-12-14,160,791,235
2025-12-15,189,821,278
2025-12-16,189,821,3961
2025-12-17,189,821,822
2025-12-18,189,821,324
2025-12-19,189,821,151
2025-12-20,189,821,130
2025-12-21,189,821,199
2025-12-22,189,821,136
2025-12-23,175,854,111
2025-12-24,175,854,92
2025-12-25,175,854,95
2025-12-26,175,854,67
2025-12-27,175,854,84
2025-12-28,175,854,133
2025-12-29,175,854,81
2025-12-30,175,854,107
2025-12-31,175,854,88
2026-01-01,175,854,79
2026-01-02,175,854,73