Date,Invalid,Valid,Impressions
2025-11-23,,,0
2025-11-24,0,0,0
2025-11-25,0,0,0
2025-11-26,0,0,0
2025-11-27,0,0,0
2025-11-28,0,0,0
2025-11-29,0,0,0
2025-11-30,0,0,0
2025-12-01,0,6,0
2025-12-02,0,8,0
2025-12-03,0,14,0
2025-12-04,0,20,0
2025-12-05,0,26,0
2025-12-06,0,36,0
2025-12-07,0,37,0
2025-12-08,0,57,0
2025-12-09,0,57,0
2025-12-10,0,57,0
2025-12-11,0,62,0
2025-12-12,0,58,0
2025-12-13,0,56,0
2025-12-14,0,49,0
2025-12-15,0,45,0
2025-12-16,0,38,0
2025-12-17,0,33,0
2025-12-18,0,29,0
2025-12-19,0,28,0
2025-12-20,0,25,0
2025-12-21,0,25,0
2025-12-22,0,43,0
2025-12-23,0,35,0
2025-12-24,0,33,0
2025-12-25,0,30,0
2025-12-26,0,28,0
2025-12-27,0,27,0
2025-12-28,0,27,0
2025-12-29,0,21,0
2025-12-30,0,11,0
2025-12-31,0,4,0
2026-01-01,0,4,0
2026-01-02,0,4,0
2026-01-03,0,4,